table,sample,outcome,label,cmean,itt,itt_se,itt_p,n,paper_cmean,paper_itt,late,late_se,late_p,paper_late,panel,domain,component_se_mean,paper_se,paper_p,paper_p_initial_vs_six,paper_p_six_vs_main,paper_p_initial_vs_main
table10,,med_qual_bin_12m,Quality of care good/VG/excellent (conditional),0.7081085798703883,0.0429141533111153,0.008086153856549079,1.1295166156003978e-07,16316,0.708,0.043,0.14152949429784561,0.02667366894144057,1.1207983474648131e-07,0.142,,,,,,,,
table10,,happy_bin_12m,Very happy or pretty happy,0.5939875423632783,0.05572489299689298,0.007427014075332415,6.488515504944879e-14,23416,0.594,0.056,0.19109397436757966,0.025670208950216038,9.747758156208874e-14,0.191,,,,,,,,
table11,initial,utilization_extensive,Utilization (extensive margin),,0.0037601557859127674,0.008684768052655858,0.4843126453433023,24511,,0.0038,,,,,,utilization_extensive,0.01298113788808727,0.0084,0.656,0.035,0.867,0.0001
table11,six_month,utilization_extensive,Utilization (extensive margin),,0.04663544235081342,0.020719834679093548,0.08555976006782558,5031,,0.047,,,,,,utilization_extensive,0.030776312842825157,0.02,0.02,0.035,0.867,0.0001
table11,main,utilization_extensive,Utilization (extensive margin),,0.05017653611085976,0.011955615816656235,0.00029871187025767095,18308,,0.05,,,,,,utilization_extensive,0.015735474820650963,0.011,0.0001,0.035,0.867,0.0001
table11,initial,utilization_total,Utilization (total),,-0.00023710154700095536,0.008708629804384813,0.5648693630786369,24492,,-0.00023,,,,,,utilization_total,0.012985232366028622,0.0086,0.978,0.188,0.556,0.001
table11,six_month,utilization_total,Utilization (total),,0.0269366258784894,0.02066318550817872,0.3572066858662565,5028,,0.027,,,,,,utilization_total,0.030372065904364576,0.02,0.187,0.188,0.556,0.001
table11,main,utilization_total,Utilization (total),,0.03980446076419426,0.012264829227493907,0.009001303344581633,18297,,0.04,,,,,,utilization_total,0.016495131977822437,0.011,0.0003,0.188,0.556,0.001
table11,initial,financial_strain,Financial strain,,-0.03516115232782441,0.009521427831011833,0.00013206053116640573,24029,,-0.035,,,,,,financial_strain,0.013390991761925083,0.0089,0.0001,0.002,0.613,0.0001
table11,six_month,financial_strain,Financial strain,,-0.09940835973716089,0.020949688021391924,1.0382071916652408e-06,5142,,-0.099,,,,,,financial_strain,0.03101354413903922,0.02,0.0001,0.002,0.613,0.0001
table11,main,financial_strain,Financial strain,,-0.08867808412590808,0.010483198713560512,4.263620913783698e-17,22571,,-0.089,,,,,,financial_strain,0.015292583590296883,0.01,0.0001,0.002,0.613,0.0001
table11,initial,health,Health,,0.04171720089962355,0.010296684793957102,7.761448712135566e-05,24048,,0.042,,,,,,health,0.013247055721152366,0.01,0.0001,0.014,0.121,0.112
table11,six_month,health,Health,,0.09686435604515349,0.024569590202865466,0.0001571994814617022,4902,,0.097,,,,,,health,0.030800813760722478,0.023,0.0001,0.014,0.121,0.112
table11,main,health,Health,,0.06077303711432308,0.012361658024712724,1.4936952345779423e-05,21384,,0.061,,,,,,health,0.015423852353201475,0.011,0.0001,0.014,0.121,0.112
table11,initial,access,Access,,0.047369576876925154,0.008246176187435764,1.871807298763961e-09,24743,,0.047,,,,,,access,0.013331553674562418,0.0078,0.0001,0.163,0.026,0.0001
table11,six_month,access,Access,,0.07462991160178081,0.020125971603750584,0.0002830659512237897,4972,,0.075,,,,,,access,0.031804192489790724,0.019,0.0001,0.163,0.026,0.0001
table11,main,access,Access,,0.11889924243916446,0.009006237060668809,3.382289730555791e-39,21541,,0.119,,,,,,access,0.01453569622335804,0.0086,0.0001,0.163,0.026,0.0001
