outcome,label,original_itt,original_itt_se,original_iv,original_iv_se,adj_itt,adj_itt_se,adj_iv,adj_iv_se,did_itt,did_itt_se,n_balanced
doc_num_mod_12m,"Outpatient visits, last 6m",0.3140841197597746,0.05365030103578473,1.0827336040064268,0.18207090706119622,0.3608903373680685,0.059738349295087034,1.1203016472008809,0.18321109446352707,0.341298074222454,0.06782020648620092,16214
cost_any_oop_12m,Any out-of-pocket spending,-0.057996620152238866,0.007659443918696344,-0.19950676274064522,0.026209301954055117,-0.059453787236133926,0.008804237952588702,-0.18319323113517852,0.026853309900730562,-0.04828707793747507,0.010219450690174466,15070
health_genflip_bin_12m,Good/very good/excellent health,0.03869440357985192,0.007635356483698912,0.13287890631674,0.026416337470329253,0.028073692419622143,0.008357625278441796,0.0871929267897053,0.025998896565599842,0.011697656140961169,0.009674135801939985,15877
notbaddays_ment_12m,Good mental-health days,0.6029049840440437,0.18436574684374124,2.082001008867436,0.6403049449444662,0.4069976069187421,0.19111862362483673,1.2671498544871047,0.5950397515563105,0.11326353371525116,0.2159315476920889,13976
