outcome,sample,coef,se,pvalue,control_mean,n,model,paper_late
ohp_all_ever_admin,full_sample,0.25586578845763913,0.0035091501073743507,0.0,0.14096877217885026,74922,itt,0.25
doc_num_mod_12m,survey_12m,0.3140841197597746,0.05365030103578473,4.8628642988496424e-09,1.9142192088873988,23441,itt,1.083
doc_num_mod_12m,survey_12m,1.0827336040064268,0.18207090706119622,2.7348712183794532e-09,1.9142192088873988,23441,late,1.083
cost_any_oop_12m,survey_12m,-0.057996620152238866,0.007659443918696344,3.831393892069244e-14,0.5545405104992374,23426,itt,-0.2
cost_any_oop_12m,survey_12m,-0.19950676274064522,0.026209301954055117,2.6867397195928788e-14,0.5545405104992374,23426,late,-0.2
health_genflip_bin_12m,survey_12m,0.03869440357985192,0.007635356483698912,4.059212608464657e-07,0.5482303498498766,23361,itt,0.13
health_genflip_bin_12m,survey_12m,0.13287890631674,0.026416337470329253,4.900221095560653e-07,0.5482303498498766,23361,late,0.13
nodep_screen_12m,survey_12m,0.022718089307011673,0.0071215789945983056,0.001424692698294579,0.6710368480605667,23147,itt,0.078
nodep_screen_12m,survey_12m,0.07831048383009623,0.02468806622527192,0.0015139432118420615,0.6710368480605667,23147,late,0.078
